read from x2_15.txt(100000,)TPS: 62500, ETA: 1 minute, 19 seconds
TPS: 6227, ETA: 13 minutes, 5 seconds
TPS: 6228, ETA: 13 minutes, 4 seconds
TPS: 6230, ETA: 13 minutes, 4 seconds
TPS: 6232, ETA: 13 minutes, 4 seconds
TPS: 6233, ETA: 13 minutes, 4 seconds
TPS: 6235, ETA: 13 minutes, 3 seconds
TPS: 6236, ETA: 13 minutes, 3 seconds
TPS: 6236, ETA: 13 minutes, 3 seconds
TPS: 6239, ETA: 13 minutes, 3 seconds
TPS: 6240, ETA: 13 minutes, 2 seconds
TPS: 6242, ETA: 13 minutes, 2 seconds
TPS: 6243, ETA: 13 minutes, 2 seconds
TPS: 6244, ETA: 13 minutes, 1 second
TPS: 6246, ETA: 13 minutes, 1 second
TPS: 6247, ETA: 13 minutes, 1 second
TPS: 6248, ETA: 13 minutes, 1 second
TPS: 6250, ETA: 13 minutes, 1 second
TPS: 6251, ETA: 13 minutes
TPS: 6252, ETA: 13 minutes
TPS: 6254, ETA: 13 minutes
TPS: 6255, ETA: 12 minutes, 59 seconds
TPS: 6256, ETA: 12 minutes, 59 seconds
TPS: 6258, ETA: 12 minutes, 59 seconds
TPS: 6259, ETA: 12 minutes, 59 seconds
TPS: 6260, ETA: 12 minutes, 59 seconds
TPS: 6261, ETA: 12 minutes, 58 seconds
TPS: 6263, ETA: 12 minutes, 58 seconds
TPS: 6264, ETA: 12 minutes, 58 seconds
TPS: 6265, ETA: 12 minutes, 58 seconds
TPS: 6267, ETA: 12 minutes, 57 seconds
TPS: 6268, ETA: 12 minutes, 57 seconds
TPS: 6269, ETA: 12 minutes, 57 seconds
TPS: 6270, ETA: 12 minutes, 57 seconds
TPS: 6272, ETA: 12 minutes, 56 seconds
TPS: 6273, ETA: 12 minutes, 56 seconds
TPS: 6274, ETA: 12 minutes, 56 seconds
TPS: 6275, ETA: 12 minutes, 56 seconds
TPS: 6276, ETA: 12 minutes, 56 seconds
TPS: 6277, ETA: 12 minutes, 55 seconds
TPS: 6279, ETA: 12 minutes, 55 seconds
TPS: 6280, ETA: 12 minutes, 55 seconds
TPS: 6281, ETA: 12 minutes, 55 seconds
TPS: 6282, ETA: 12 minutes, 54 seconds
TPS: 6283, ETA: 12 minutes, 54 seconds
TPS: 6284, ETA: 12 minutes, 54 seconds
TPS: 6286, ETA: 12 minutes, 54 seconds
TPS: 6287, ETA: 12 minutes, 54 seconds
TPS: 6288, ETA: 12 minutes, 53 seconds
TPS: 6289, ETA: 12 minutes, 53 seconds
TPS: 6290, ETA: 12 minutes, 53 seconds
TPS: 6291, ETA: 12 minutes, 53 seconds
TPS: 6292, ETA: 12 minutes, 52 seconds
TPS: 6293, ETA: 12 minutes, 52 seconds
TPS: 6294, ETA: 12 minutes, 52 seconds
TPS: 6295, ETA: 12 minutes, 52 seconds
TPS: 6296, ETA: 12 minutes, 52 seconds
TPS: 6297, ETA: 12 minutes, 51 seconds
TPS: 6298, ETA: 12 minutes, 51 seconds
TPS: 6299, ETA: 12 minutes, 51 seconds
TPS: 6300, ETA: 12 minutes, 51 seconds
TPS: 6301, ETA: 12 minutes, 51 seconds
TPS: 6302, ETA: 12 minutes, 50 seconds
TPS: 6303, ETA: 12 minutes, 50 seconds
TPS: 6304, ETA: 12 minutes, 50 seconds
TPS: 6305, ETA: 12 minutes, 50 seconds
TPS: 6306, ETA: 12 minutes, 50 seconds
TPS: 6307, ETA: 12 minutes, 49 seconds
TPS: 6308, ETA: 12 minutes, 49 seconds
TPS: 6309, ETA: 12 minutes, 49 seconds
TPS: 6310, ETA: 12 minutes, 49 seconds
TPS: 6311, ETA: 12 minutes, 49 seconds
TPS: 6308, ETA: 12 minutes, 49 seconds
TPS: 6313, ETA: 12 minutes, 48 seconds
TPS: 6314, ETA: 12 minutes, 48 seconds
TPS: 6315, ETA: 12 minutes, 48 seconds
TPS: 6316, ETA: 12 minutes, 48 seconds
TPS: 6317, ETA: 12 minutes, 47 seconds
TPS: 6318, ETA: 12 minutes, 47 seconds
TPS: 6319, ETA: 12 minutes, 47 seconds
TPS: 6293, ETA: 12 minutes, 50 seconds
TPS: 6311, ETA: 12 minutes, 48 seconds
TPS: 6313, ETA: 12 minutes, 47 seconds
TPS: 6318, ETA: 12 minutes, 47 seconds
TPS: 6319, ETA: 12 minutes, 47 seconds
TPS: 6320, ETA: 12 minutes, 46 seconds
TPS: 6321, ETA: 12 minutes, 46 seconds
TPS: 6322, ETA: 12 minutes, 46 seconds
TPS: 6323, ETA: 12 minutes, 46 seconds
TPS: 6323, ETA: 12 minutes, 46 seconds
TPS: 6324, ETA: 12 minutes, 46 seconds
TPS: 6325, ETA: 12 minutes, 45 seconds
TPS: 6326, ETA: 12 minutes, 45 seconds
TPS: 6327, ETA: 12 minutes, 45 seconds
TPS: 6328, ETA: 12 minutes, 45 seconds
TPS: 6329, ETA: 12 minutes, 45 seconds
TPS: 6329, ETA: 12 minutes, 44 seconds
TPS: 6329, ETA: 12 minutes, 44 seconds
TPS: 6331, ETA: 12 minutes, 44 seconds
TPS: 6332, ETA: 12 minutes, 44 seconds
TPS: 6333, ETA: 12 minutes, 44 seconds
TPS: 6334, ETA: 12 minutes, 44 seconds
TPS: 6334, ETA: 12 minutes, 43 seconds
TPS: 6335, ETA: 12 minutes, 43 seconds
TPS: 6336, ETA: 12 minutes, 43 seconds
TPS: 6337, ETA: 12 minutes, 43 seconds
TPS: 6338, ETA: 12 minutes, 43 seconds
TPS: 6339, ETA: 12 minutes, 42 seconds
TPS: 6339, ETA: 12 minutes, 42 seconds
TPS: 6340, ETA: 12 minutes, 42 seconds
TPS: 6341, ETA: 12 minutes, 42 seconds
TPS: 6342, ETA: 12 minutes, 42 seconds
TPS: 6343, ETA: 12 minutes, 42 seconds
TPS: 6343, ETA: 12 minutes, 41 seconds
TPS: 6344, ETA: 12 minutes, 41 seconds
TPS: 6345, ETA: 12 minutes, 41 seconds
TPS: 6346, ETA: 12 minutes, 41 seconds
TPS: 6346, ETA: 12 minutes, 41 seconds
TPS: 6347, ETA: 12 minutes, 41 seconds
TPS: 6348, ETA: 12 minutes, 40 seconds
TPS: 6349, ETA: 12 minutes, 40 seconds
TPS: 6350, ETA: 12 minutes, 40 seconds
TPS: 6350, ETA: 12 minutes, 40 seconds
TPS: 6351, ETA: 12 minutes, 40 seconds
TPS: 6352, ETA: 12 minutes, 40 seconds
TPS: 6352, ETA: 12 minutes, 39 seconds
TPS: 6353, ETA: 12 minutes, 39 seconds
TPS: 6354, ETA: 12 minutes, 39 seconds
TPS: 6355, ETA: 12 minutes, 39 seconds
TPS: 6355, ETA: 12 minutes, 39 seconds
TPS: 6356, ETA: 12 minutes, 39 seconds
TPS: 6357, ETA: 12 minutes, 38 seconds
TPS: 6357, ETA: 12 minutes, 38 seconds
TPS: 6358, ETA: 12 minutes, 38 seconds
TPS: 6359, ETA: 12 minutes, 38 seconds
TPS: 6359, ETA: 12 minutes, 38 seconds
TPS: 6360, ETA: 12 minutes, 38 seconds
TPS: 6361, ETA: 12 minutes, 37 seconds
TPS: 6361, ETA: 12 minutes, 37 seconds
